 frequency       inoise_spectrum onoise_spectrum
 1.04665121e+02  4.94418555e-10  1.11442301e-08 
 1.07078670e+02  4.94412193e-10  1.11440867e-08 
 1.09547876e+02  4.94405974e-10  1.11439465e-08 
 1.12074020e+02  4.94399896e-10  1.11438095e-08 
 1.14658417e+02  4.94393955e-10  1.11436756e-08 
 1.17302409e+02  4.94388147e-10  1.11435447e-08 
 1.20007371e+02  4.94382471e-10  1.11434167e-08 
 1.22774708e+02  4.94376922e-10  1.11432916e-08 
 1.25605860e+02  4.94371498e-10  1.11431694e-08 
 1.28502297e+02  4.94366196e-10  1.11430499e-08 
 1.31465525e+02  4.94361014e-10  1.11429331e-08 
 1.34497085e+02  4.94355949e-10  1.11428189e-08 
 1.37598551e+02  4.94350998e-10  1.11427073e-08 
 1.40771537e+02  4.94346158e-10  1.11425982e-08 
 1.44017690e+02  4.94341427e-10  1.11424916e-08 
 1.47338699e+02  4.94336803e-10  1.11423874e-08 
 1.50736290e+02  4.94332283e-10  1.11422855e-08 
 1.54212228e+02  4.94327865e-10  1.11421859e-08 
 1.57768320e+02  4.94323547e-10  1.11420886e-08 
 1.61406415e+02  4.94319325e-10  1.11419934e-08 
 1.65128404e+02  4.94315199e-10  1.11419004e-08 
 1.68936220e+02  4.94311166e-10  1.11418095e-08 
 1.72831844e+02  4.94307224e-10  1.11417206e-08 
 1.76817299e+02  4.94303370e-10  1.11416338e-08 
 1.80894658e+02  4.94299604e-10  1.11415489e-08 
 1.85066040e+02  4.94295922e-10  1.11414659e-08 
 1.89333613e+02  4.94292323e-10  1.11413848e-08 
 1.93699595e+02  4.94288805e-10  1.11413055e-08 
 1.98166255e+02  4.94285367e-10  1.11412280e-08 
 2.02735916e+02  4.94282006e-10  1.11411522e-08 
 2.07410951e+02  4.94278721e-10  1.11410782e-08 
 2.12193792e+02  4.94275510e-10  1.11410058e-08 
 2.17086923e+02  4.94272371e-10  1.11409351e-08 
 2.22092889e+02  4.94269303e-10  1.11408659e-08 
 2.27214291e+02  4.94266304e-10  1.11407983e-08 
 2.32453791e+02  4.94263372e-10  1.11407322e-08 
 2.37814113e+02  4.94260507e-10  1.11406676e-08 
 2.43298042e+02  4.94257706e-10  1.11406045e-08 
 2.48908429e+02  4.94254969e-10  1.11405428e-08 
 2.54648190e+02  4.94252293e-10  1.11404825e-08 
 2.60520309e+02  4.94249677e-10  1.11404235e-08 
 2.66527837e+02  4.94247120e-10  1.11403659e-08 
 2.72673897e+02  4.94244621e-10  1.11403096e-08 
 2.78961683e+02  4.94242178e-10  1.11402545e-08 
 2.85394464e+02  4.94239791e-10  1.11402007e-08 
 2.91975583e+02  4.94237457e-10  1.11401481e-08 
 2.98708461e+02  4.94235175e-10  1.11400967e-08 
 3.05596598e+02  4.94232946e-10  1.11400464e-08 
 3.12643573e+02  4.94230766e-10  1.11399973e-08 
 3.19853049e+02  4.94228635e-10  1.11399493e-08 
 3.27228774e+02  4.94226553e-10  1.11399023e-08 
 3.34774581e+02  4.94224517e-10  1.11398564e-08 
 3.42494392e+02  4.94222527e-10  1.11398116e-08 
 3.50392221e+02  4.94220583e-10  1.11397677e-08 
 3.58472171e+02  4.94218681e-10  1.11397249e-08 
 3.66738442e+02  4.94216823e-10  1.11396830e-08 
 3.75195331e+02  4.94215007e-10  1.11396421e-08 
 3.83847234e+02  4.94213231e-10  1.11396020e-08 
 3.92698648e+02  4.94211496e-10  1.11395629e-08 
 4.01754173e+02  4.94209800e-10  1.11395247e-08 
 4.11018515e+02  4.94208142e-10  1.11394873e-08 
 4.20496491e+02  4.94206521e-10  1.11394508e-08 
 4.30193027e+02  4.94204937e-10  1.11394151e-08 
 4.40113162e+02  4.94203388e-10  1.11393802e-08 
 4.50262052e+02  4.94201875e-10  1.11393461e-08 
 4.60644974e+02  4.94200395e-10  1.11393127e-08 
 4.71267322e+02  4.94198949e-10  1.11392801e-08 
 4.82134619e+02  4.94197536e-10  1.11392483e-08 
 4.93252513e+02  4.94196154e-10  1.11392171e-08 
 5.04626783e+02  4.94194803e-10  1.11391867e-08 
 5.16263340e+02  4.94193483e-10  1.11391569e-08 
 5.28168234e+02  4.94192193e-10  1.11391278e-08 
 5.40347650e+02  4.94190932e-10  1.11390994e-08 
 5.52807921e+02  4.94189699e-10  1.11390716e-08 
 5.65555523e+02  4.94188494e-10  1.11390444e-08 
 5.78597080e+02  4.94187316e-10  1.11390179e-08 
 5.91939372e+02  4.94186164e-10  1.11389919e-08 
 6.05589334e+02  4.94185039e-10  1.11389666e-08 
 6.19554061e+02  4.94183939e-10  1.11389418e-08 
 6.33840810e+02  4.94182864e-10  1.11389175e-08 
 6.48457008e+02  4.94181813e-10  1.11388938e-08 
 6.63410251e+02  4.94180785e-10  1.11388707e-08 
 6.78708313e+02  4.94179781e-10  1.11388480e-08 
 6.94359143e+02  4.94178800e-10  1.11388259e-08 
 7.10370877e+02  4.94177840e-10  1.11388043e-08 
 7.26751838e+02  4.94176902e-10  1.11387832e-08 
 7.43510539e+02  4.94175986e-10  1.11387625e-08 
 7.60655691e+02  4.94175090e-10  1.11387423e-08 
 7.78196206e+02  4.94174214e-10  1.11387225e-08 
 7.96141200e+02  4.94173358e-10  1.11387032e-08 
 8.14500001e+02  4.94172521e-10  1.11386844e-08 
 8.33282151e+02  4.94171703e-10  1.11386659e-08 
 8.52497412e+02  4.94170903e-10  1.11386479e-08 
 8.72155772e+02  4.94170122e-10  1.11386303e-08 
 8.92267449e+02  4.94169358e-10  1.11386131e-08 
 9.12842895e+02  4.94168611e-10  1.11385962e-08 
 9.33892805e+02  4.94167881e-10  1.11385798e-08 
 9.55428121e+02  4.94167168e-10  1.11385637e-08 
 9.77460036e+02  4.94166470e-10  1.11385480e-08 
 1.00000000e+03  4.94165789e-10  1.11385326e-08 
 1.02305973e+03  4.94165122e-10  1.11385176e-08 
 1.04665121e+03  4.94164471e-10  1.11385029e-08 
 1.07078670e+03  4.94163835e-10  1.11384886e-08 
 1.09547876e+03  4.94163212e-10  1.11384745e-08 
 1.12074020e+03  4.94162604e-10  1.11384608e-08 
 1.14658417e+03  4.94162009e-10  1.11384474e-08 
 1.17302409e+03  4.94161428e-10  1.11384343e-08 
 1.20007371e+03  4.94160860e-10  1.11384215e-08 
 1.22774708e+03  4.94160305e-10  1.11384090e-08 
 1.25605860e+03  4.94159762e-10  1.11383967e-08 
 1.28502297e+03  4.94159232e-10  1.11383848e-08 
 1.31465525e+03  4.94158713e-10  1.11383731e-08 
 1.34497085e+03  4.94158206e-10  1.11383616e-08 
 1.37598551e+03  4.94157710e-10  1.11383505e-08 
 1.40771537e+03  4.94157226e-10  1.11383395e-08 
 1.44017690e+03  4.94156753e-10  1.11383288e-08 
 1.47338699e+03  4.94156290e-10  1.11383184e-08 
 1.50736290e+03  4.94155837e-10  1.11383082e-08 
 1.54212228e+03  4.94155395e-10  1.11382982e-08 
 1.57768320e+03  4.94154963e-10  1.11382885e-08 
 1.61406415e+03  4.94154540e-10  1.11382789e-08 
 1.65128404e+03  4.94154127e-10  1.11382696e-08 
 1.68936220e+03  4.94153724e-10  1.11382605e-08 
 1.72831844e+03  4.94153329e-10  1.11382516e-08 
 1.76817299e+03  4.94152943e-10  1.11382429e-08 
 1.80894658e+03  4.94152566e-10  1.11382344e-08 
 1.85066040e+03  4.94152197e-10  1.11382261e-08 
 1.89333613e+03  4.94151837e-10  1.11382179e-08 
 1.93699595e+03  4.94151485e-10  1.11382100e-08 
 1.98166255e+03  4.94151140e-10  1.11382022e-08 
 2.02735916e+03  4.94150804e-10  1.11381946e-08 
 2.07410951e+03  4.94150475e-10  1.11381872e-08 
 2.12193792e+03  4.94150153e-10  1.11381799e-08 
 2.17086923e+03  4.94149838e-10  1.11381728e-08 
 2.22092889e+03  4.94149531e-10  1.11381658e-08 
 2.27214291e+03  4.94149230e-10  1.11381590e-08 
 2.32453791e+03  4.94148937e-10  1.11381524e-08 
 2.37814113e+03  4.94148649e-10  1.11381459e-08 
 2.43298042e+03  4.94148369e-10  1.11381396e-08 
 2.48908429e+03  4.94148094e-10  1.11381334e-08 
 2.54648190e+03  4.94147826e-10  1.11381273e-08 
 2.60520309e+03  4.94147563e-10  1.11381213e-08 
 2.66527837e+03  4.94147307e-10  1.11381155e-08 
 2.72673897e+03  4.94147056e-10  1.11381099e-08 
 2.78961683e+03  4.94146811e-10  1.11381043e-08 
 2.85394464e+03  4.94146571e-10  1.11380989e-08 
 2.91975583e+03  4.94146337e-10  1.11380936e-08 
 2.98708461e+03  4.94146108e-10  1.11380884e-08 
 3.05596598e+03  4.94145884e-10  1.11380833e-08 
 3.12643573e+03  4.94145665e-10  1.11380783e-08 
 3.19853049e+03  4.94145451e-10  1.11380734e-08 
 3.27228774e+03  4.94145241e-10  1.11380687e-08 
 3.34774581e+03  4.94145036e-10  1.11380640e-08 
 3.42494392e+03  4.94144836e-10  1.11380595e-08 
 3.50392221e+03  4.94144640e-10  1.11380550e-08 
 3.58472171e+03  4.94144449e-10  1.11380506e-08 
 3.66738442e+03  4.94144261e-10  1.11380464e-08 
 3.75195331e+03  4.94144078e-10  1.11380422e-08 
 3.83847234e+03  4.94143899e-10  1.11380381e-08 
 3.92698648e+03  4.94143724e-10  1.11380341e-08 
 4.01754173e+03  4.94143552e-10  1.11380302e-08 
 4.11018515e+03  4.94143385e-10  1.11380263e-08 
 4.20496491e+03  4.94143221e-10  1.11380226e-08 
 4.30193027e+03  4.94143060e-10  1.11380189e-08 
 4.40113162e+03  4.94142903e-10  1.11380153e-08 
 4.50262052e+03  4.94142750e-10  1.11380117e-08 
 4.60644974e+03  4.94142600e-10  1.11380083e-08 
 4.71267322e+03  4.94142453e-10  1.11380049e-08 
 4.82134619e+03  4.94142309e-10  1.11380016e-08 
 4.93252513e+03  4.94142168e-10  1.11379983e-08 
 5.04626783e+03  4.94142030e-10  1.11379951e-08 
 5.16263340e+03  4.94141895e-10  1.11379920e-08 
 5.28168234e+03  4.94141763e-10  1.11379889e-08 
 5.40347650e+03  4.94141634e-10  1.11379859e-08 
 5.52807921e+03  4.94141507e-10  1.11379829e-08 
 5.65555523e+03  4.94141383e-10  1.11379800e-08 
 5.78597080e+03  4.94141262e-10  1.11379771e-08 
 5.91939372e+03  4.94141143e-10  1.11379743e-08 
 6.05589334e+03  4.94141027e-10  1.11379716e-08 
 6.19554061e+03  4.94140912e-10  1.11379688e-08 
 6.33840810e+03  4.94140801e-10  1.11379662e-08 
 6.48457008e+03  4.94140691e-10  1.11379636e-08 
 6.63410251e+03  4.94140583e-10  1.11379610e-08 
 6.78708313e+03  4.94140478e-10  1.11379584e-08 
 6.94359143e+03  4.94140375e-10  1.11379559e-08 
 7.10370877e+03  4.94140273e-10  1.11379535e-08 
 7.26751838e+03  4.94140174e-10  1.11379510e-08 
 7.43510539e+03  4.94140076e-10  1.11379486e-08 
 7.60655691e+03  4.94139980e-10  1.11379462e-08 
 7.78196206e+03  4.94139886e-10  1.11379439e-08 
 7.96141200e+03  4.94139794e-10  1.11379416e-08 
 8.14500001e+03  4.94139703e-10  1.11379393e-08 
 8.33282151e+03  4.94139614e-10  1.11379370e-08 
 8.52497412e+03  4.94139526e-10  1.11379348e-08 
 8.72155772e+03  4.94139440e-10  1.11379326e-08 
 8.92267449e+03  4.94139355e-10  1.11379304e-08 
 9.12842895e+03  4.94139271e-10  1.11379282e-08 
 9.33892805e+03  4.94139189e-10  1.11379260e-08 
 9.55428121e+03  4.94139108e-10  1.11379238e-08 
 9.77460036e+03  4.94139028e-10  1.11379217e-08 
 1.00000000e+04  4.94138949e-10  1.11379196e-08 
 1.02305973e+04  4.94138871e-10  1.11379174e-08 
 1.04665121e+04  4.94138794e-10  1.11379153e-08 
 1.07078670e+04  4.94138718e-10  1.11379132e-08 
 1.09547876e+04  4.94138643e-10  1.11379110e-08 
 1.12074020e+04  4.94138568e-10  1.11379089e-08 
 1.14658417e+04  4.94138495e-10  1.11379068e-08 
 1.17302409e+04  4.94138422e-10  1.11379046e-08 
 1.20007371e+04  4.94138350e-10  1.11379025e-08 
 1.22774708e+04  4.94138278e-10  1.11379003e-08 
 1.25605860e+04  4.94138207e-10  1.11378981e-08 
 1.28502297e+04  4.94138136e-10  1.11378959e-08 
 1.31465525e+04  4.94138066e-10  1.11378937e-08 
 1.34497085e+04  4.94137995e-10  1.11378915e-08 
 1.37598551e+04  4.94137926e-10  1.11378892e-08 
 1.40771537e+04  4.94137856e-10  1.11378869e-08 
 1.44017690e+04  4.94137786e-10  1.11378846e-08 
 1.47338699e+04  4.94137717e-10  1.11378822e-08 
 1.50736290e+04  4.94137647e-10  1.11378798e-08 
 1.54212228e+04  4.94137577e-10  1.11378774e-08 
 1.57768320e+04  4.94137507e-10  1.11378749e-08 
 1.61406415e+04  4.94137437e-10  1.11378724e-08 
 1.65128404e+04  4.94137367e-10  1.11378698e-08 
 1.68936220e+04  4.94137296e-10  1.11378672e-08 
 1.72831844e+04  4.94137224e-10  1.11378645e-08 
 1.76817299e+04  4.94137152e-10  1.11378617e-08 
 1.80894658e+04  4.94137079e-10  1.11378589e-08 
 1.85066040e+04  4.94137006e-10  1.11378560e-08 
 1.89333613e+04  4.94136931e-10  1.11378530e-08 
 1.93699595e+04  4.94136856e-10  1.11378499e-08 
 1.98166255e+04  4.94136779e-10  1.11378468e-08 
 2.02735916e+04  4.94136701e-10  1.11378435e-08 
 2.07410951e+04  4.94136622e-10  1.11378402e-08 
 2.12193792e+04  4.94136542e-10  1.11378367e-08 
 2.17086923e+04  4.94136460e-10  1.11378332e-08 
 2.22092889e+04  4.94136377e-10  1.11378295e-08 
 2.27214291e+04  4.94136291e-10  1.11378256e-08 
 2.32453791e+04  4.94136204e-10  1.11378217e-08 
 2.37814113e+04  4.94136115e-10  1.11378176e-08 
 2.43298042e+04  4.94136023e-10  1.11378134e-08 
 2.48908429e+04  4.94135929e-10  1.11378090e-08 
 2.54648190e+04  4.94135833e-10  1.11378045e-08 
 2.60520309e+04  4.94135734e-10  1.11377998e-08 
 2.66527837e+04  4.94135633e-10  1.11377949e-08 
 2.72673897e+04  4.94135528e-10  1.11377899e-08 
 2.78961683e+04  4.94135420e-10  1.11377846e-08 
 2.85394464e+04  4.94135309e-10  1.11377792e-08 
 2.91975583e+04  4.94135195e-10  1.11377735e-08 
