 frequency       inoise_spectrum onoise_spectrum
 8.72155772e+03  1.38620699e-09  3.08935337e-08 
 8.92267449e+03  1.38620657e-09  3.08935120e-08 
 9.12842895e+03  1.38620617e-09  3.08934898e-08 
 9.33892805e+03  1.38620577e-09  3.08934673e-08 
 9.55428121e+03  1.38620539e-09  3.08934443e-08 
 9.77460036e+03  1.38620501e-09  3.08934209e-08 
 1.00000000e+04  1.38620464e-09  3.08933969e-08 
 1.02305973e+04  1.38620428e-09  3.08933724e-08 
 1.04665121e+04  1.38620393e-09  3.08933473e-08 
 1.07078670e+04  1.38620358e-09  3.08933216e-08 
 1.09547876e+04  1.38620324e-09  3.08932952e-08 
 1.12074020e+04  1.38620291e-09  3.08932681e-08 
 1.14658417e+04  1.38620259e-09  3.08932402e-08 
 1.17302409e+04  1.38620228e-09  3.08932115e-08 
 1.20007371e+04  1.38620197e-09  3.08931820e-08 
 1.22774708e+04  1.38620167e-09  3.08931516e-08 
 1.25605860e+04  1.38620137e-09  3.08931202e-08 
 1.28502297e+04  1.38620109e-09  3.08930878e-08 
 1.31465525e+04  1.38620081e-09  3.08930543e-08 
 1.34497085e+04  1.38620053e-09  3.08930197e-08 
 1.37598551e+04  1.38620026e-09  3.08929840e-08 
 1.40771537e+04  1.38620000e-09  3.08929469e-08 
 1.44017690e+04  1.38619974e-09  3.08929086e-08 
 1.47338699e+04  1.38619949e-09  3.08928688e-08 
 1.50736290e+04  1.38619925e-09  3.08928276e-08 
 1.54212228e+04  1.38619901e-09  3.08927849e-08 
 1.57768320e+04  1.38619877e-09  3.08927405e-08 
 1.61406415e+04  1.38619855e-09  3.08926944e-08 
 1.65128404e+04  1.38619832e-09  3.08926465e-08 
 1.68936220e+04  1.38619810e-09  3.08925967e-08 
 1.72831844e+04  1.38619789e-09  3.08925449e-08 
 1.76817299e+04  1.38619768e-09  3.08924910e-08 
 1.80894658e+04  1.38619748e-09  3.08924350e-08 
 1.85066040e+04  1.38619728e-09  3.08923767e-08 
 1.89333613e+04  1.38619708e-09  3.08923159e-08 
 1.93699595e+04  1.38619689e-09  3.08922526e-08 
 1.98166255e+04  1.38619670e-09  3.08921867e-08 
 2.02735916e+04  1.38619652e-09  3.08921179e-08 
 2.07410951e+04  1.38619634e-09  3.08920463e-08 
 2.12193792e+04  1.38619617e-09  3.08919715e-08 
 2.17086923e+04  1.38619600e-09  3.08918936e-08 
 2.22092889e+04  1.38619583e-09  3.08918123e-08 
 2.27214291e+04  1.38619567e-09  3.08917274e-08 
 2.32453791e+04  1.38619551e-09  3.08916388e-08 
 2.37814113e+04  1.38619535e-09  3.08915463e-08 
 2.43298042e+04  1.38619520e-09  3.08914497e-08 
 2.48908429e+04  1.38619505e-09  3.08913490e-08 
 2.54648190e+04  1.38619491e-09  3.08912437e-08 
 2.60520309e+04  1.38619477e-09  3.08911337e-08 
 2.66527837e+04  1.38619463e-09  3.08910189e-08 
 2.72673897e+04  1.38619449e-09  3.08908989e-08 
 2.78961683e+04  1.38619436e-09  3.08907735e-08 
 2.85394464e+04  1.38619423e-09  3.08906424e-08 
 2.91975583e+04  1.38619410e-09  3.08905055e-08 
 2.98708461e+04  1.38619398e-09  3.08903623e-08 
 3.05596598e+04  1.38619386e-09  3.08902127e-08 
 3.12643573e+04  1.38619374e-09  3.08900563e-08 
 3.19853049e+04  1.38619362e-09  3.08898928e-08 
 3.27228774e+04  1.38619351e-09  3.08897218e-08 
 3.34774581e+04  1.38619340e-09  3.08895430e-08 
 3.42494392e+04  1.38619329e-09  3.08893561e-08 
 3.50392221e+04  1.38619319e-09  3.08891606e-08 
 3.58472171e+04  1.38619308e-09  3.08889561e-08 
 3.66738442e+04  1.38619298e-09  3.08887423e-08 
 3.75195331e+04  1.38619288e-09  3.08885187e-08 
 3.83847234e+04  1.38619279e-09  3.08882847e-08 
 3.92698648e+04  1.38619269e-09  3.08880401e-08 
 4.01754173e+04  1.38619260e-09  3.08877841e-08 
 4.11018515e+04  1.38619251e-09  3.08875164e-08 
 4.20496491e+04  1.38619242e-09  3.08872363e-08 
 4.30193027e+04  1.38619234e-09  3.08869433e-08 
 4.40113162e+04  1.38619225e-09  3.08866367e-08 
 4.50262052e+04  1.38619217e-09  3.08863161e-08 
 4.60644974e+04  1.38619209e-09  3.08859806e-08 
 4.71267322e+04  1.38619201e-09  3.08856295e-08 
 4.82134619e+04  1.38619193e-09  3.08852623e-08 
 4.93252513e+04  1.38619186e-09  3.08848780e-08 
 5.04626783e+04  1.38619178e-09  3.08844759e-08 
 5.16263340e+04  1.38619171e-09  3.08840552e-08 
 5.28168234e+04  1.38619164e-09  3.08836151e-08 
 5.40347650e+04  1.38619157e-09  3.08831545e-08 
